ext,UPI,HI,FPI,AI,PCI,LI,WHI,UAI,WCI,DI,PS,FS
dhpfcgilccfkodnhbllpiaabofjbjcbg,1,0,0,1,0,0,1,1,1,1,1,0
nmmlponboocidohfhbhdldlondliaicj,0,0,0,0,0,0,1,1,1,1,0,1
ahjhlnckcgnoikkfkfnkbfengklhglpg,0,0,0,1,0,0,1,1,1,0,1,0
nnjiaepbjmddpkmiaedcjofmooooddbh,1,0,0,1,0,0,0,1,1,0,1,0
eieoionackkjenppkjildngnkenadjgc,0,0,0,0,0,0,1,1,1,0,1,0
kohfgcgbkjodfcfkcackpagifgbcmimk,1,0,1,1,0,0,1,1,1,1,1,0
knlbmbpafkikdgolegpkaipbdglpjopd,0,0,0,0,0,0,0,1,1,0,0,0
ogobpofhpaediomejphdlbljncngeggl,0,0,1,0,0,0,1,1,0,1,1,0
cgkdejhhiahpglnmaaifbcjnnjcacdlp,1,0,0,1,0,0,1,1,1,0,1,0
opelelcojgjgddbfhlolihhdmjodmjdf,1,0,0,1,0,0,1,1,1,0,1,0
hphdahmligbkhjoedbpeoigbmopehdhm,1,0,0,1,0,0,1,1,1,0,1,0
mloajfnmjckfjbeeofcdaecbelnblden,0,0,1,0,0,0,0,1,1,0,1,0
lfhnennfegaileldmoghidoondeealai,0,0,0,1,0,0,1,1,0,0,0,0
lppagnomjcaohgkfljlebenbmbdmbkdj,1,0,0,1,0,0,0,1,1,0,1,0
bhlfiadmogondcnpfcfjepokmmcjgdoe,1,0,0,1,0,0,1,1,1,0,1,0
kkenhaebpnoocbenliedhneidccbbnhf,1,0,0,1,0,0,1,1,1,0,1,0
ggafbfbbholjabenemjoimkkkookgbam,1,0,1,1,1,0,1,1,1,0,1,0
gmloihcgbhbonllenincdakeijmikcne,1,0,0,1,0,0,0,1,1,0,1,0
mmhlniccooihdimnnjhamobppdhaolme,1,1,1,1,0,0,0,1,1,0,1,0
iejmieihafhhmjpoblelhbpdgchbckil,1,0,0,1,0,0,0,1,1,0,1,0
dmpahanaghpahmfffoolckhmkhkhjihj,1,0,0,1,1,0,0,1,1,0,0,0
aagminaekdpcfimcbhknlgjmpnnnmooo,0,0,0,1,0,0,0,1,1,1,1,0
dkoinecnplfbobfdamgfjfonmjieigpd,1,0,0,1,0,0,0,1,1,0,1,0
kbomhfjppdgllelhnikpdcocckadacia,1,0,1,1,0,1,1,1,1,0,0,0
nalcmippmnicanikekphpdmmcgoojjlm,1,0,0,1,0,0,0,1,1,0,1,0
bebmphofpgkhclocdbgomhnjcpelbenh,1,0,0,1,0,0,1,1,1,0,1,0
fieadlockpkpfndbednodepdlpnemglm,1,0,0,0,0,0,0,1,1,0,0,0
njdfdhgcmkocbgbhcioffdbicglldapd,1,0,0,1,0,0,1,1,1,0,1,0
oppadelfinecikcbggmjjicoandngpba,1,0,0,1,0,0,0,1,1,0,1,0
pdlmmiianmjhlkdbbbhpbeecimmbocbp,1,0,0,1,1,0,1,1,1,0,1,0
hmpbiickdfmcdlcpjegamgnjjkaiackl,1,0,1,1,0,1,1,1,1,0,0,0
kmkdgnfgallnjpdldcmplbggbmkgcgdl,1,0,0,1,0,0,1,1,1,1,1,0
oidhbpddkfhmipanjccneeifmmiabjng,1,0,0,1,0,0,1,1,1,0,1,0
ohdihpdgfenligmhnmldmiabdhflokkh,1,0,0,1,0,0,1,1,1,0,1,0
ekandjcbopgfnppmmjkhbmmkjgiidcmo,1,0,0,1,0,0,1,1,1,1,1,0
ijnodnmgpgmgaajhagolfiemmmamfcgb,1,0,0,1,0,0,1,1,1,0,1,0
dgnafboabnkflcpieoekojogfkfdcboj,0,0,0,0,0,0,1,1,0,1,1,0
hobnkbcfnolegmdfmfakkcllnblnonhb,1,1,0,1,0,0,1,1,1,0,1,0
