ext,category,UPI,HI,FPI,AI,PCI,LI,WHI,UAI,WCI,DI,PS,FS,Total Finded
nndloomnepdkmbaohgomkojklffgncjm,Accessibility,0,0,0,0,0,0,0,1,0,1,0,0,13
dbiljoifjihhnghopaokjicepkcdfglo,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,12
ildbfpaelempeokjfldpclbfggjkhdhl,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,6
kmmmcmbbhfdabgpbdobcjnihbbpkogpn,Accessibility,0,0,0,0,0,0,0,1,1,0,0,0,9
gkfdmicoabhfiikenoajdelcibhakkfc,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,6
miobdnlklljmcbdjfchaiahbpjcphddb,Accessibility,0,0,0,0,0,0,0,1,1,0,0,0,14
lhpbckonakppajdgicbjdfokagjofnob,Accessibility,0,0,0,0,0,0,0,0,0,1,0,0,6
poeldndhfgocdoifjphkoaacilbogedp,Accessibility,1,0,0,1,0,0,0,1,1,1,0,0,4
pblofepolnhfieapbjkojidcegmdhemd,Accessibility,1,0,0,1,0,0,0,1,1,1,0,0,2
lanjkanddondkihfkjlmackofeadjbgg,Accessibility,0,0,0,0,0,0,0,0,1,0,0,0,7
pcjhoepmhoekjoghcifenbhhlmmedima,Accessibility,1,0,0,0,0,0,0,0,1,1,0,0,4
iohpehejkbkfdgpfhmlbogapmpkefdej,Accessibility,0,0,0,0,0,0,0,1,1,0,0,0,9
kcbljogompapnbbkihihijccgndjflda,Accessibility,0,0,0,0,0,0,0,0,1,0,0,0,7
icgadjgnglgbkbbaejehpdejobiffhkh,Accessibility,0,0,0,0,0,0,0,0,0,1,0,0,9
camogfdchdhjhgbjgfjmfdghlkgmdldh,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,7
dadggmdmhmfkpglkfpkjdmlendbkehoh,Accessibility,0,0,0,0,0,0,0,1,0,0,0,0,11
fkkjecpbakmcejadagjnenogkdabmbep,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,5
ajckkhdonjlneepkdclilbnjmkddpnen,Accessibility,0,0,0,0,0,0,0,0,0,0,0,0,7
