ext,UPI,HI,FPI,AI,PCI,LI,WHI,UAI,WCI,DI,PS,FS
acfelooipjghbapmcjnokpniohifdmih,0,0,0,0,0,0,0,3,1,1,0,0
aoobhfgdfanbloadaggnabfbgbhkbpgb,0,0,0,0,0,0,0,1,1,1,0,0
ccljlmmlgpdlbpgafhnejagfjdlonnij,7,0,0,1,0,0,0,15,17,1,0,0
alfihijpbpajcmmhgcicnipjlinmmmle,0,0,0,0,0,0,0,34,23,1,0,0
bnmminpkjkhedhadjfblifhbaoemgadi,0,0,0,0,0,0,0,6,0,1,0,0
aglmggedobppijenijohiefklpckopef,1,0,0,1,4,0,0,9,1,1,0,0
cbgpbhpefmeholmeodlhaalbcjgbafjd,1,0,0,1,0,0,0,4,1,1,0,0
aecmnemhogbiohkomdlbgklhlamaihhi,0,0,0,0,0,0,0,0,5,1,0,0
bpfpofnomfjhkkfilphecclpobndmfjk,0,0,0,0,0,0,0,0,1,0,0,0
cobdocbfpgcbfmdcojngaochmkhlgcic,0,0,0,0,0,0,0,0,0,0,0,0
aibeeepkhjjckbdgnbmehbjehecnmafe,0,0,0,0,0,0,0,1,3,1,0,0
aicjbabojmgegnbkjcjmbkilhpmaeobh,0,0,0,0,0,0,0,0,8,1,0,0
bkmelgpkcifncmhcghoholgcngmangid,0,0,0,0,0,0,0,4,1,1,0,0
bhddppodjinmkoakbppenpbpodbcjgam,0,0,0,0,0,0,0,7,5,1,0,0
cgmocdadonifbjlfaeedjdlhghkpfcok,0,0,0,0,0,0,0,6,0,0,0,0
bhnjaoemjjpolobopjbnchecajgoefgp,1,0,0,1,1,0,0,0,0,1,0,0
bjhnodbmckbankekdeakipokhbbfooob,0,0,0,0,0,0,0,6,0,1,0,0
cmamafkbbgiklagnebclmefcgdielbbo,0,0,0,0,0,0,0,1,11,0,0,0
anjnlhdbcnfammmkhbcndcaoojhefnnh,0,0,0,0,0,0,0,6,1,0,0,0
cfghnhecnihlkmbnoigpnnacpopmalbf,0,0,0,0,0,0,0,1,4,1,0,0
bgjogpoidejdemgoochpnkmdjpocgkha,0,0,0,12,0,0,0,2,1,0,0,0
baiegdlnkkoajbafkllifgaonieafcjg,0,0,0,0,0,0,0,4,8,0,0,0
cohbpajmjppibdbkjpbgmjbhkbndpkpe,0,0,0,4,0,0,0,29,12,0,0,0
aipmpbhchlkopmpoaipbelfpniojcnkb,0,0,0,0,0,0,0,0,2,1,0,0
anjhglcdiggolglifinimlmlcfkhjifh,0,0,0,0,0,0,0,2,0,1,0,0
abcibdpfinnhhfpecalbnpdfnaclgofb,1,0,0,1,1,1,0,0,0,1,1,0
beilbfghjjeoajmbmlfbocjgbocmggap,0,0,0,0,0,0,0,0,0,0,0,0
bcfkhmdogololgfhcadmnbngjhakahld,0,0,0,0,0,0,5,11,5,0,2,0
anmhbeifdpdehpdeoaacmjobnhndadpi,0,0,0,0,0,0,0,0,2,0,0,0
anofemnnkclanjephghmdkaddlbecglk,0,0,0,0,0,0,0,0,2,1,0,0
cndgjpnecphpmehnehcgommajdhajabc,0,0,0,0,0,0,0,7,0,0,0,0
ahebaadmhfchbdghmmdojjfgebejmolm,0,0,0,0,0,0,0,0,0,1,0,0
bghmobfahilidfjejhbojodgfadmnagh,0,0,0,0,0,0,0,0,0,0,0,0
cmkhghjjbnkidoplhmeiplccpfkffpek,0,0,0,0,0,0,0,6,4,0,0,0
abaiekbialdnaneiihdajfpkfjcmgjoa,0,0,0,0,0,0,0,39,10,1,0,0
agbkjcoclkflcpkognkhjkllhimlpice,0,0,0,0,0,0,0,1,8,0,0,0
aemadajfghcahjdioknhhghpgkkchhlj,0,0,0,0,0,0,0,0,1,1,0,0
bjblobcihloahnigngcmplnjjkmjlgkf,0,0,0,0,0,0,0,0,0,1,0,0
bokkeodjhlniciglmfingmkojimjefdp,0,0,0,0,0,0,0,0,0,1,0,0
cjohcjolpfoobjhdfpmnbbchdfckinef,0,0,0,0,0,0,0,4,4,0,0,0
bdgkhmcmlpihblbmnnhckfekdkkenlmh,0,0,0,0,0,0,0,0,0,0,0,0
bgmdepbommfjdeflfngiipmkmjcchdfc,0,0,0,0,0,0,0,1,3,0,0,0
acmafppnlnoegfeohohmlceehnpfadba,0,0,0,0,0,0,0,0,0,0,0,0
bbbelngfdodhikkjmnldjekagfkngkga,0,0,0,0,0,0,0,3,2,0,0,0
aohhnbhpkopmfemfonachenhjohjojnj,0,0,0,1,0,0,0,11,24,1,0,0
aemjehgbihpagiegcggpnejhljiipobf,0,0,0,1,0,0,0,3,3,1,0,0
blecebkjfbkpannnmajllilknpccheak,0,0,0,0,0,0,1,22,38,2,0,0
cjadknidmgdfahbflldlhnkdpibhfpfg,0,0,0,0,0,0,0,2,3,0,0,0
aomnlmcemihejgfkeplljkcelfpneakg,0,0,0,0,0,0,0,7,0,1,0,0
acmkjgmlfgbnemdfhfheeilhcjffbjnm,0,0,0,0,0,0,0,4,4,1,0,0
ajjieidehlmampnmfjkaiaikfkjfimej,0,0,0,0,0,0,1,1,2,1,1,0
accaalaikbngbnhikiiljfilnpphmegf,0,0,0,0,0,0,0,1,7,1,0,0
aoojlhjjgjhndkblocmajmekmdbfdkhj,0,0,0,0,0,0,0,4,8,1,0,0
ahebijmdaijbamimcgagkfnjmebedbhp,0,0,0,0,0,0,0,0,0,1,0,0
cfpibdcoggdibkdnlfpmmgpioegapjob,0,0,0,0,0,0,0,2,17,0,0,0
aeekfpaigbeblmpeliiomcamnipcglii,0,0,0,0,0,0,0,0,2,1,0,0
anpapjclbjicacakeoggghfldppbkepg,0,0,0,1,0,0,0,7,3,1,0,0
ainnemkhpnjgkhcdkfbhmlenkhehmfhi,0,0,0,0,0,0,0,0,0,0,0,0
ajgncogonaofcnamfdeejenmlmhbkfmp,0,0,0,0,0,0,0,2,0,1,0,0
bmajknmefligkcimgmleblmgjhlbbjoa,0,0,0,0,0,0,0,2,0,1,0,0
ampmnnjacddkgboncenjbijhbophacpd,0,0,0,0,0,0,0,0,0,1,0,0
