id,category,UPI,HI,FPI,AI,PCI,LI,WHI,UAI,WCI,DI,PS,FS,Total Finded
lhpbckonakppajdgicbjdfokagjofnob,Accessibility,0,0,0,0,0,0,0,2,2,4,0,0,6
poeldndhfgocdoifjphkoaacilbogedp,Accessibility,2,0,0,3,0,0,0,2,2,4,0,0,4
pblofepolnhfieapbjkojidcegmdhemd,Accessibility,1,0,0,1,0,0,0,1,1,1,0,0,2
lanjkanddondkihfkjlmackofeadjbgg,Accessibility,0,0,0,1,0,0,3,3,4,3,3,0,7
pcjhoepmhoekjoghcifenbhhlmmedima,Accessibility,2,0,0,1,0,0,1,0,3,3,0,0,4
iohpehejkbkfdgpfhmlbogapmpkefdej,Accessibility,0,0,0,0,0,0,0,7,5,4,1,0,9
kcbljogompapnbbkihihijccgndjflda,Accessibility,0,0,0,0,0,0,0,2,5,3,0,0,7
icgadjgnglgbkbbaejehpdejobiffhkh,Accessibility,0,0,0,0,0,0,0,3,4,6,0,0,9
camogfdchdhjhgbjgfjmfdghlkgmdldh,Accessibility,0,0,0,0,0,0,0,5,4,4,0,0,7
dadggmdmhmfkpglkfpkjdmlendbkehoh,Accessibility,0,0,0,2,0,0,0,6,5,5,0,0,11
fkkjecpbakmcejadagjnenogkdabmbep,Accessibility,1,0,1,1,0,0,0,4,4,4,1,0,5
ajckkhdonjlneepkdclilbnjmkddpnen,Accessibility,1,0,0,0,0,0,0,2,2,2,2,0,7
alkfhfgkepamooonkjdolamnbilhkmjg,Accessibility,1,0,0,1,0,0,0,3,5,5,0,0,8
nhmccpjmdhejpfhafcfajkgifkmjhkgf,Accessibility,0,0,0,0,0,0,0,5,7,6,0,0,12
knijgomkfcdigmbogcnffcbfgmapmkca,Accessibility,2,0,0,1,0,0,0,6,9,4,1,0,11
cdciibllmibdlannjhadoapbdpgeemga,Accessibility,0,0,0,0,0,0,0,0,0,1,0,0,3
kpidndfnnoehcnegkaeiglmggchnipcn,Accessibility,0,0,0,0,0,0,0,4,5,2,0,0,6
ifneepiofkffljglcdgajfgmhhakibdi,Accessibility,1,0,0,1,1,0,0,3,4,3,0,0,5
jmhjngpdfdmgmngfmbbjkmnpmfcbbcii,Accessibility,3,0,0,6,0,0,0,3,10,10,0,0,12
nocmgagcgpkpofhnkhnidkggfaepieon,Accessibility,0,0,0,0,0,0,0,4,5,3,0,0,7
ielggdbamjmfoiennlibhkknhopncipl,Accessibility,0,0,0,0,0,0,0,7,5,4,0,0,11
piicimoiaiblachamdicgngccadhlecl,Accessibility,0,0,0,0,0,0,0,4,4,7,0,0,8
idhkdcpihjcjeeaeaegbfibgkkcgmfel,Accessibility,1,0,0,1,0,0,0,1,1,3,0,0,4
dchmahpmnpogmfofejmdndonfljkjhdm,Accessibility,0,0,0,0,0,0,0,2,6,4,0,0,9
kejikcfbgajpfjimicaklpdnmjlkledd,Accessibility,2,0,0,2,0,0,1,6,9,5,1,0,12
ageghplgcapnfpdhapeemolbmfccclke,Accessibility,0,0,0,2,0,0,1,4,4,3,0,0,4
ppinmodbpljedinjhhpabjcbgkfmkmak,Accessibility,1,0,0,1,0,0,0,7,6,9,0,0,10
pdlkjdlbjjfmlfhijdbdpkilpdoncgdk,Accessibility,1,0,0,1,1,0,3,3,1,7,1,0,8
opedjbjdlegcahkllmcnepjeihphjkfl,Accessibility,1,0,0,3,0,0,0,4,4,3,0,0,6
jaflockmdgfoehjilcemkmfaogfpcofp,Accessibility,0,0,0,0,0,0,0,1,2,3,0,0,7
gjaalifmgnmmmfamlndnlcfcjaiapida,Accessibility,0,0,0,0,0,0,0,4,2,1,0,0,6
lajondecmobodlejlcjllhojikagldgd,Accessibility,1,1,0,2,0,0,0,11,14,11,0,0,17
jcigapkmkejookkejhojeobnbngphomg,Accessibility,0,0,0,0,0,0,0,4,4,4,0,0,10
dcjcdeappfdpohbcomllngbckjpelckc,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,1
mnphabhdkpljeimcfpdpppbamedonofb,Accessibility,0,0,0,0,0,0,0,3,4,3,0,0,5
khiocfdofmabcpofejbffpbocoabcjib,Accessibility,1,0,0,1,0,0,0,4,7,3,0,0,8
nmndcjhenmoghainokenbpgakopbplpk,Accessibility,0,0,0,0,0,0,0,5,4,4,0,0,10
gfpphfadinalebmmjaamocgoakipkolj,Accessibility,2,0,0,2,1,0,1,5,4,6,3,0,8
fhkgfmkmehojjekhffhifemmjmblmbnb,Accessibility,0,0,0,2,0,0,0,4,4,2,1,0,6
mghmdfcoglhfidlkpilennieahmofdcc,Accessibility,0,0,0,1,0,0,0,5,4,3,0,0,8
ljekjikpaonjihlpllojbdacdenmnfpn,Accessibility,0,0,0,0,0,0,0,1,0,2,0,0,3
jbhdndokpilenhhbiejllkoehpgccmbb,Accessibility,2,0,0,2,0,0,0,2,1,2,0,0,5
ninjcegeembcbgfkdmicfoopgnhgnafa,Accessibility,1,0,0,1,0,0,0,6,7,5,0,0,9
clknajphkicnepcpecgjghccmmkhcagc,Accessibility,0,0,0,0,0,0,0,9,10,4,0,0,12
klhpehdhdohjpnammbkecooemnklnino,Accessibility,1,0,0,2,0,0,0,7,4,7,0,0,8
aeampjcahpidlojklaijajmkfhdmicdp,Accessibility,1,0,0,2,0,0,1,5,1,4,0,0,8
pgmaidhfoodebfiocgananbdfnankehm,Accessibility,1,0,0,1,0,0,0,4,8,3,0,0,9
lhghlnlmbjoanpjmbnlfafmlfjillmfm,Accessibility,1,0,0,1,0,0,0,6,3,3,0,0,9
hocikkbhhnohmdfcoljccffnggiaaodl,Accessibility,1,0,0,2,0,0,0,9,7,5,0,0,11
iebdnijpaiebfijdcagjjmiblcdidpmp,Accessibility,3,1,0,5,1,0,0,2,5,5,0,0,6
