ext,UPI,HI,FPI,AI,PCI,LI,WHI,UAI,WCI,DI,PS,FS
migdhldfbapmodfbmgpofnikfbfpbbon,0,-1,0,0,0,1,1,0,0,0,1,1
fapgabkkfcaejckbfmfcdgnfefbmlion,0,0,0,1,0,1,1,0,0,1,0,1
knmnaaoafogkenfjbgmhkjpiabopnibg,0,0,0,0,1,1,1,0,0,0,0,1
mbpccgpiidnajgnapidpjmcjakjhkbom,0,0,0,-1,-1,0,0,0,0,-1,0,0
niloccemoadcdkdjlinkgdfekeahmflj,0,0,0,1,0,1,1,1,1,0,0,1
lfjnnkckddkopjfgmbcpdiolnmfobflj,0,0,0,1,0,1,1,0,0,1,1,1
cocfojppfigjeefejbpfmedgjbpchcng,0,0,0,1,0,1,1,0,1,1,0,1
cgbihpjbhpdfbdckcabcniojdhcgblhd,0,0,0,1,0,1,1,1,1,1,0,1
dgoicbnaoajknfnkijgjdelfdihpicie,1,0,1,0,0,0,0,0,0,0,0,0
bekopgepchoeepdmokgkpkfhegkeohbl,0,1,1,1,0,1,1,0,0,1,0,1
gndngamokmnabgfdibbgcpbhgfoheimd,0,0,0,1,0,1,1,0,0,1,1,1
ehpdoeepbmijafimdjcippbkpffhfmif,0,0,0,1,0,1,1,0,0,1,0,1
kbbbldgkhcpkmmjbjelmkjkchibeklng,0,0,0,1,0,1,1,0,0,0,1,1
bacghepghgccgaonmmlpeekkjbdblhjf,1,0,1,0,0,0,0,0,0,0,0,0
ibplnjkanclpjokhdolnendpplpjiace,-1,0,0,0,0,1,1,0,1,0,1,1
ahkbbpklfnlmilejfjalgmjoojaamekg,0,0,0,1,1,0,0,1,1,-1,1,1
inblpolgchbcgmocpnalobjmmaldkjap,1,0,0,0,0,1,1,0,0,0,0,1
kejhpkmainjkpiablnfdppneidnkhdif,0,0,0,1,0,1,1,0,0,0,0,1
hamhaljjdpcgkelbadepgmnocknejief,-1,0,0,1,1,1,1,0,0,0,0,1
kmlalnclbkfkgckkocfpmjcfbgoeakof,0,0,0,0,0,0,-1,0,0,-1,1,1
dipiagiiohfljcicegpgffpbnjmgjcnf,-1,0,0,0,0,1,1,1,0,0,1,1
lpkndkffkmhcdkkdmeeelikmadjjmebe,0,0,0,1,1,0,0,0,0,0,1,1
bccpegbeakkofioonldfbhgdcdjmkfnk,0,0,0,1,0,1,1,0,0,1,0,1
bmdnpacffafhifoibkeajbacaapgcoih,0,0,0,1,0,1,1,0,1,0,0,1
olidoialnlcdepmehacnojkhanbfkmbc,0,0,0,1,1,1,1,0,0,0,1,1
hhdobjgopfphlmjbmnpglhfcgppchgje,-1,0,0,1,0,1,1,1,1,0,1,1
mjdepdfccjgcndkmemponafgioodelna,-1,0,0,0,-1,1,1,0,0,0,0,1
kpdfphhplelegiijichjfhcgplamnklf,-1,0,0,0,0,1,1,0,0,0,0,1
baflojfpgicbegbdfaklkhnjoikendeh,0,0,0,0,1,0,0,0,0,0,0,0
eegpjjnajnplmkigmoglgbgpibgkkepo,0,0,0,1,0,1,1,1,1,1,1,1
ledaenehpknpfpodpbaoagjifopbgffn,-1,0,0,0,0,1,1,0,1,0,0,1
lbfjbappcgpjejkcdjponeobdcnldlkc,0,0,0,1,1,1,0,0,0,0,0,1
dhpfcgilccfkodnhbllpiaabofjbjcbg,0,0,0,1,0,1,1,1,1,1,1,1
nmmlponboocidohfhbhdldlondliaicj,0,0,0,0,0,0,-1,0,0,0,1,1
ahjhlnckcgnoikkfkfnkbfengklhglpg,0,0,0,0,0,0,0,0,1,-1,1,0
nnjiaepbjmddpkmiaedcjofmooooddbh,0,0,0,1,1,1,1,1,1,1,0,1
eieoionackkjenppkjildngnkenadjgc,0,0,0,0,0,0,1,0,1,1,1,1
kohfgcgbkjodfcfkcackpagifgbcmimk,0,0,0,1,1,1,1,0,0,0,1,1
knlbmbpafkikdgolegpkaipbdglpjopd,-1,0,0,-1,0,0,0,1,1,-1,1,1
ogobpofhpaediomejphdlbljncngeggl,0,0,0,0,1,0,-1,0,0,-1,1,1
cgkdejhhiahpglnmaaifbcjnnjcacdlp,0,0,0,1,0,1,1,0,0,1,0,1
opelelcojgjgddbfhlolihhdmjodmjdf,0,0,0,1,1,1,1,1,1,1,0,1
hphdahmligbkhjoedbpeoigbmopehdhm,0,0,0,1,0,1,1,1,0,0,0,1
mloajfnmjckfjbeeofcdaecbelnblden,0,0,0,1,0,0,0,0,0,0,1,1
lfhnennfegaileldmoghidoondeealai,1,0,0,1,1,1,1,0,0,1,0,1
lppagnomjcaohgkfljlebenbmbdmbkdj,0,0,0,1,0,1,1,0,0,1,0,1
bhlfiadmogondcnpfcfjepokmmcjgdoe,-1,0,0,0,1,1,1,1,0,0,0,1
kkenhaebpnoocbenliedhneidccbbnhf,0,0,0,1,0,1,1,0,0,0,0,1
ggafbfbbholjabenemjoimkkkookgbam,0,1,0,1,1,1,1,0,0,1,0,1
gmloihcgbhbonllenincdakeijmikcne,0,0,0,1,0,1,1,1,1,1,0,1
mmhlniccooihdimnnjhamobppdhaolme,0,0,1,1,0,1,1,0,0,0,-1,1
iejmieihafhhmjpoblelhbpdgchbckil,-1,0,0,0,0,1,1,1,1,0,0,1
dmpahanaghpahmfffoolckhmkhkhjihj,0,0,0,1,1,0,0,0,1,-1,1,1
aagminaekdpcfimcbhknlgjmpnnnmooo,0,0,0,0,0,0,0,1,0,-1,1,0
dkoinecnplfbobfdamgfjfonmjieigpd,0,0,0,1,0,1,1,1,1,0,0,1
kbomhfjppdgllelhnikpdcocckadacia,1,0,1,-1,0,0,0,0,0,-1,0,0
nalcmippmnicanikekphpdmmcgoojjlm,0,0,0,1,0,1,1,0,0,0,0,1
bebmphofpgkhclocdbgomhnjcpelbenh,0,0,0,1,0,1,1,0,0,1,0,1
fieadlockpkpfndbednodepdlpnemglm,0,0,0,0,1,0,0,1,0,0,0,0
njdfdhgcmkocbgbhcioffdbicglldapd,0,0,0,1,0,1,1,0,0,0,-1,1
oppadelfinecikcbggmjjicoandngpba,0,0,0,1,0,1,1,1,1,1,0,1
pdlmmiianmjhlkdbbbhpbeecimmbocbp,0,0,0,1,1,0,0,1,0,0,1,1
hmpbiickdfmcdlcpjegamgnjjkaiackl,1,0,1,0,0,0,0,0,0,0,-1,0
kmkdgnfgallnjpdldcmplbggbmkgcgdl,0,0,0,1,0,1,1,0,0,0,1,1
oidhbpddkfhmipanjccneeifmmiabjng,-1,0,0,0,0,1,1,0,0,0,0,1
ohdihpdgfenligmhnmldmiabdhflokkh,0,0,0,1,1,1,1,0,1,1,0,1
ekandjcbopgfnppmmjkhbmmkjgiidcmo,0,0,0,1,0,1,1,0,0,1,1,1
ijnodnmgpgmgaajhagolfiemmmamfcgb,-1,0,0,0,0,1,1,1,1,0,0,1
dgnafboabnkflcpieoekojogfkfdcboj,1,0,0,0,0,0,0,0,0,-1,1,1
hobnkbcfnolegmdfmfakkcllnblnonhb,0,0,1,1,0,1,1,0,1,0,0,1
palcdpnojkmdjpkdcldniiefhdokbojb,0,0,0,1,0,0,0,0,0,0,0,1
hcofnkkihemblooncobelgfemgpedinp,0,0,0,0,1,0,0,0,0,-1,0,0
dgjppomomihdmmiefpaalenochdlhpdh,0,0,0,1,0,1,1,0,0,1,0,1
nmeinjkidjfnbgfjiomkdmlihnadacgo,0,0,0,1,0,1,1,0,0,0,1,1
mkocgejaabjghpnhoagkolcnfhgdkilo,0,0,0,1,1,0,0,0,1,-1,1,1
ckinimcmjlcaclahdpbeklbgfjidaeml,0,0,0,0,0,0,0,0,0,0,1,1
ahepnebpdofkpmnnminmmjimoofbkbji,0,0,0,0,0,0,-1,0,0,0,1,1
ljhkfklbohndemkbafegonhpanfajeae,0,0,0,1,1,0,0,0,0,-1,1,1
mojhglbfmhgcocfelnnfgngefdpibfhl,-1,0,0,0,1,0,0,0,0,-1,1,1
oeadfeokeafokjbffnibccbbgbjcdefe,0,0,0,1,0,1,1,0,0,1,0,1
hjdoplcnndgiblooccencgcggcoihigg,0,0,0,1,0,1,1,0,0,0,0,1
pgenbnkcpmebbcoeeekefkmblmblppbj,0,0,0,1,0,1,1,0,0,0,0,1
dmgaboifbpokjbdcbnmkcohiondlampj,-1,0,0,0,1,0,0,0,0,-1,1,1
eamijgbomblhngjdljgbhjgdcoaakaom,0,0,0,1,0,1,1,0,0,0,0,1
cgnmjdccjgfkmpnooddjjcadgklkimkg,0,0,0,1,0,1,1,1,1,1,0,1
pooaemmkohlphkekccfajnbcokjlbehk,-1,0,0,0,0,0,0,0,0,-1,0,1
bgnbkbdgafaaghfbnmhejdajbeboloci,0,0,0,1,1,1,1,0,0,1,0,1
amfojhdiedpdnlijjbhjnhokbnohfdfb,-1,0,0,0,0,1,1,0,0,0,-1,1
bhiokmeldglbhimbpncofnnijoljjpfc,0,0,0,1,0,1,1,0,0,0,0,1
gfmkiampcljcdhgcalhgjhojfejlkhnn,0,0,0,0,1,1,1,0,0,0,0,1
imlfnnonlpkccnhikhlnleeghigenonh,0,0,1,-1,0,0,0,1,1,-1,1,0
kdffomfplcfeemdjjnifjeenlpbcgfcj,1,0,1,0,0,0,0,0,0,0,0,0
ldbhojoiaggmgkjcepnmcebablbgpbfk,0,0,0,1,0,1,1,1,0,0,1,1
ejgidflmdjpfnnbmgmegcjcjofdndfcm,0,0,0,1,1,0,0,0,0,0,1,1
debfefmfahocmpjephpmplljfmjjadml,1,0,1,0,0,0,0,1,0,-1,0,0
lbmambbnglofgbcaphmokiadbfdicddj,0,0,0,1,0,1,1,1,1,1,0,1
kaplhmhahkanhjahbdbaamdaililfmkj,0,0,0,1,0,1,1,1,1,1,0,1
alhmbbnlcggfcjjfihglopfopcbigmil,0,0,0,1,1,0,0,0,0,-1,1,1
gmojglhjbjbibakbghapikjkjdijpmbl,0,0,0,1,0,1,1,0,0,1,0,1
alhndfppifbidkmdkanmkpcdofkmaomm,0,0,0,1,0,1,1,0,0,0,0,1
lkdeaaanpdkakjbfbjmnofohljimjmlh,0,0,0,1,0,1,1,0,0,0,0,1
kcjchkpaiadaekobnkjjjbjehbjoboak,0,0,0,0,0,0,0,1,1,-1,1,1
iibninhmiggehlcdolcilmhacighjamp,0,1,0,1,1,1,1,1,0,1,1,1
dbkeanahcbkdfofebhieglfdoihdboei,0,0,0,-1,0,1,0,0,0,-1,1,1
oknpjjbmpnndlpmnhmekjpocelpnlfdi,0,0,0,0,1,0,0,0,0,0,1,1
dheionainndbbpoacpnopgmnihkcmnkl,-1,0,0,0,1,1,1,0,0,0,-1,1
fhkimgpddcmnleeaicdjggpedegolbkb,0,0,0,1,1,0,0,0,0,0,1,1
mmhppocgfdombmapajfeafhecobfcjpk,0,0,0,1,1,1,1,1,1,0,0,1
oolkfddhhccdciigjigaghblnlkbgjki,0,0,0,1,1,0,0,0,0,-1,1,1
hmfocflebeolgkehnimcchankdjljepb,0,0,0,0,1,0,0,0,0,0,0,0
lhcmoeflppeellobgaaphmhoailkpfdj,1,0,1,0,0,0,0,0,0,-1,1,0
lokadhdaghfjbmailhhenifjejpokche,0,0,0,-1,0,0,0,0,0,0,1,1
dhpojdmnffaocepmljcdcongdmkjblan,0,0,0,1,0,1,1,1,0,1,1,1
bkkbcggnhapdmkeljlodobbkopceiche,0,0,0,0,1,1,1,0,0,0,1,1
ipobloajcfdhbfpobiphpjolfmfcmokc,1,0,1,0,0,0,0,1,0,0,0,0
kpipjgdapccmpkgipfikeajoopjbcgam,0,0,0,0,0,0,0,1,0,-1,1,1
coinegbkpholhpicoglgamehmcogoagj,0,0,0,0,0,0,1,0,0,0,1,1
offfjidagceabmodhpcngpemnnlojnhn,-1,0,0,0,0,1,1,0,0,0,0,1
labbepjbeajenpikffombfflolbmigmc,0,0,0,1,0,1,1,1,0,0,0,1
ooppcohacjcoekjgiajkkjgepofncbdl,0,0,0,1,0,1,1,0,0,1,0,1
clgficggccelgifppbcaepjdkklfcefd,0,0,0,0,1,1,1,0,0,0,1,1
ndhodhgmjkljkgmigfhlhhcbebmbnbhl,0,0,0,1,1,0,0,0,0,-1,1,1
cnffkgfknlbnbfhihojeagbmcdcfdcnb,0,0,0,1,0,1,1,0,0,0,-1,1
ablpgchfbbfachdiakmieocbdgflgfjj,0,0,0,0,0,0,1,0,1,0,1,1
honjoefhlidgdidlcdbipobjnoliiaid,0,0,0,0,0,1,1,0,0,0,-1,1
pcbckpfgadgjmlgehfjjbpmeaakchibc,0,0,0,1,0,1,1,1,0,0,0,1
hdhinadidafjejdhmfkjgnolgimiaplp,-1,0,0,-1,0,0,0,0,1,-1,1,1
hilfdhlnmhmdhcfilfabcmabcpedgedd,-1,0,0,0,0,1,1,0,0,0,-1,1
hhljlkkodanjjefajfnmlihohigmfbbl,0,0,0,1,1,1,1,0,0,1,1,1
