ext,UPI,HI,FPI,AI,PCI,LI,WHI,UAI,WCI,DI,PS,FS
bhejpdaebjenglpjjliedhgfllodogmp,0,0,0,0,0,0,0,0,0,1,0,0
bhekpamafapcanfnkmblbgjglfiinldm,0,0,0,0,0,0,0,0,0,1,0,0
bhencomiigpamncaocbamnabdgdlicfp,0,0,0,0,0,0,0,0,0,1,0,0
bhepobfngomchdgpacboabjgaclpkkmh,0,0,0,0,0,0,0,0,0,1,0,0
bhfahcmhaoimhmdgpnjgobfljafbkkhp,0,0,0,0,0,0,0,0,0,1,0,0
bhfakmaiadhflpjloimlagikhodjiefj,1,0,0,1,0,0,0,0,0,1,0,0
bhfbkacflpnpfgfjghhajikhfghcknip,0,0,0,0,0,0,0,0,0,1,0,0
bhfbmochnkclmomfbpfaoiicanbamekb,0,0,0,0,0,0,0,0,0,1,0,0
bhfdjlecoondbjjgelmpimdeenongemf,0,0,0,0,0,0,0,0,0,1,0,0
bhfdjpnkobneienhpmfbljllofklpnmf,0,0,0,0,0,0,0,0,0,1,0,0
bhfeffmpmolhjajecfhgfjbnbhlpflab,0,0,0,0,0,0,0,0,0,1,0,0
bhfelhfpjghfmhogedjnlmdpkbhmjhlf,0,0,0,0,0,0,0,0,0,1,0,0
bhfenhhfpcpkknkahnlogooiodcofkjl,0,0,0,0,0,0,0,0,0,1,0,0
bhfhdidbcclahddgkikdccfidjbcmibi,0,0,0,0,0,0,0,0,0,1,0,0
bhfkllackhecnaphcfonldjcekmffpcn,1,0,0,1,0,0,0,0,0,1,0,0
bhflldkbcnidkhofjejdmidnpklichjk,0,0,0,0,0,0,0,0,0,1,0,0
bhfocicgjapmjaceofingjieimdbklec,1,0,0,1,1,1,0,0,0,1,0,0
bhfpaolpgcdngodaohmppgdgnechgejg,0,0,0,0,0,0,0,0,0,1,0,0
bhgbjidhkpomdgkkgepcfdjcfjpdjcej,0,0,0,0,0,0,0,0,0,1,0,0
bhgckgbadleaakjjhlegamogoffadfpe,0,0,0,0,0,0,0,0,0,1,0,0
bhgdgldjeleknmcjcdomkcjnjcjmlcka,0,0,0,0,0,0,0,0,0,1,0,0
bhggankplfegmjjngfmhfajedmiikolo,0,0,0,0,0,0,0,0,0,1,0,0
bhghoamapcdpbohphigoooaddinpkbai,1,0,0,1,0,0,0,0,0,1,0,0
bhgkdnnlhmefhnkfilcaaibapeepkfok,0,0,0,0,0,0,0,0,0,0,0,0
bhgmcidfcdpepjjdpobpejfgbejjknjc,1,0,0,1,0,0,0,0,0,1,1,0
bhgmdfginnpaajjmpfdkcemnapgbmfci,0,0,0,0,0,0,0,0,0,1,0,0
bhgpimjehlhondcoagddglglegkajkmo,0,0,0,0,0,0,0,0,0,1,0,0
bhgpjfpkbpadpjenecjbioekbheemnkn,0,0,0,0,0,0,0,0,0,1,0,0
bhgpngobllhcnknlokbpkeggifkpafhl,0,0,0,0,0,0,0,0,0,1,0,0
bhhaihcbledolbbigofbpegdbomoimfa,0,0,0,0,0,0,0,0,0,1,0,0
bhhaphnabpbkpecmjlodijdnhmpimmoa,0,0,0,0,0,0,0,0,0,1,0,0
bhhbldpkbggebfnpmapneimmhmlnibcc,0,0,0,0,0,0,0,0,0,1,0,0
bhhddgpklpjchoemcgggncekimleaaok,0,0,0,0,0,0,0,0,0,1,0,0
bhhdjafmibffbkeepohbjknojlhnmlhm,0,0,0,0,0,0,0,0,0,1,0,0
bhhedmkajmakgklnihnimbdilonklolm,1,0,0,1,0,0,0,0,0,1,0,0
bhhenlligefblmfiflfbcmhjohpbilme,0,0,0,0,0,0,0,0,0,1,0,0
bhhhlbepdkbapadjdnnojkbgioiodbic,0,0,0,0,0,0,0,0,0,1,0,0
bhhinkiejikaoegbkfghkchkfekbkbic,0,0,0,0,0,0,0,0,0,1,0,0
bhhlnjflhbdhhgfiiagkphmejaomhicj,0,0,0,0,0,0,0,0,0,1,0,0
bhhmkdjkblginaaffledkaemmajakpfk,0,0,0,0,0,0,0,0,0,1,0,0
bhhpafhgfaeifjeceaeijijbemifafhk,0,0,0,0,0,0,0,0,0,1,0,0
bhhpoohhibclpahglfcghgceddcefioa,1,0,0,1,1,0,0,0,0,1,1,0
bhibldekjicdbnjeeecmgoogcihoalhe,0,0,0,0,0,0,0,0,0,1,0,0
bhiboegdbnknlgdicihoemoplphmmmcc,0,0,0,0,0,0,0,0,0,1,0,0
bhicedmcbjmeppeannndieioafaglmeg,1,0,0,1,0,0,0,0,0,1,0,0
bhiegncjmjcjnlgcklnhefhdlkjlkbgb,0,0,0,0,0,0,0,0,0,0,0,0
bhifecnmahnembnkehmjhpogecginffa,1,0,0,1,0,0,0,0,0,1,0,0
bhifoljjeiadlbdalbloiebjnpgdeofg,0,0,0,0,0,0,0,0,0,1,0,0
bhigicedeaekhgjpgmpigofebngokpip,0,0,0,0,0,0,0,0,0,1,0,0
bhiichidigehdgphoambhjbekalahgha,0,0,0,0,0,0,0,0,0,1,0,0
bhimnoepicmcjfkbmhckamllnibadfal,0,0,0,0,0,0,0,0,0,1,0,0
bhinbcmdgohdfoemfacmbpbfeijngffa,0,0,0,0,0,0,0,0,0,1,0,0
bhiodmiooehmkihcpibmohdpmblnmhdb,0,0,0,0,0,0,0,0,0,1,0,0
bhiokmeldglbhimbpncofnnijoljjpfc,0,0,0,0,0,0,0,0,0,1,0,0
bhjbdcfmjeamajgholaihpnbnkfihhgl,0,0,0,0,0,0,0,0,0,1,0,0
bhjbpkbogccdlbaadpmnjgkhdpoknojb,0,0,0,0,0,0,0,0,0,1,0,0
bhjcfnaijokffnifkahdbipimjinjfdp,1,0,0,1,0,0,0,0,0,1,0,0
bhjcnfapeldiindoijnmfkmoaijakhna,0,0,0,0,0,0,0,0,0,1,0,0
bhjdamjdahimmmpdbbhbcljhkihdokpo,0,0,0,0,0,0,0,0,0,1,0,0
bhjhhbeipdlljpdijfmdjplidlegpenl,0,0,0,0,0,0,0,0,0,1,0,0
bhjhigpclpjipfmfhoojjjfdpiekmhck,0,0,0,0,0,0,0,0,0,1,0,0
bhjhkhppcacjglakljgngpinoeljejjd,0,0,0,0,0,0,0,0,0,1,0,0
bhjkadebkpcekfbjkkmcjhhlfidajfmi,0,0,0,0,0,0,0,0,0,1,0,0
bhjlgiepdekbnmiipcnlhjabbhkdbfhf,0,0,0,0,0,0,0,0,0,1,0,0
bhjlkimpkkgkmfjlcfngmakenalgleap,0,0,0,0,0,0,0,0,0,1,0,0
bhjmmlcdfdcdloebidhnlgoabjpbfjbk,0,0,0,0,0,0,0,0,0,1,0,0
