ext,UPI,HI,FPI,AI,PCI,LI,WHI,UAI,WCI,DI,PS,FS
amfmilbepoogemaocdjijfgihlcllaig,1,0,0,0,0,0,0,0,0,0,0,0
ccboihdnhnhfdlibjojemhianiippghl,0,0,0,0,0,0,0,0,0,0,0,0
acmacodkjbdgmoleebolmdjonilkdbch,0,0,0,8,0,0,0,0,0,0,0,0
bjkooefbjlllpjnhjbmlonkigmgblnfl,0,0,0,14,0,4,0,0,0,0,0,0
babgchcegnkbiojmdpnoilficladccfm,0,0,0,0,0,0,0,0,0,0,0,0
bllgmdlgbbmijcoecbnmgeoekhebgmac,0,0,0,0,1,0,0,0,0,0,0,0
anfpkkaflkiocidindfnmieohlpcmcfp,0,0,0,0,0,0,0,0,0,0,0,0
bgbhfmeabcmpjblimfddkeikogidjhao,0,0,0,0,0,0,0,0,0,0,0,0
bbaogjaeflnjolejjcpceoapngapnbaj,0,0,0,0,0,0,0,0,0,0,0,0
blmfonnhidmbgcpghlbogjgdkdlmdknh,0,0,0,0,0,0,0,0,0,0,0,0
agohkbfananbebiaphblgcfhcclklfnh,0,0,0,0,0,0,0,0,0,0,0,0
bbnkplfjmidlhdcdephnjbfdbociepph,0,0,0,0,0,0,0,0,0,0,0,0
adiemcknblbcnlllkmoefnpoihceclpp,0,0,0,0,1,0,0,0,0,0,0,0
bhhenlligefblmfiflfbcmhjohpbilme,0,0,0,2,0,0,0,0,0,0,0,0
aabplfdbflnfaabdmafknlgpoffelmej,0,0,0,2,0,0,0,0,0,0,0,0
bjceobblnjgdcgdapanldlkkejljpdlh,0,0,0,0,0,0,0,0,0,0,0,0
aemcokmmdpmcgfegnllnjfnocamllleh,0,0,0,0,0,0,0,0,0,0,0,0
bhnhkdgoefpmekcgnccpnhjfdgicfebm,0,0,0,0,0,0,0,0,0,0,0,0
cbbhnfkdiimgbfbmaaamdcdmjmgbgpoa,0,0,0,0,0,0,0,0,0,0,0,0
amocooflhobdfdnlkpdnapkcafolalhh,0,0,0,0,0,0,0,0,0,0,0,0
alkcnclapbnefkodhbkpifdkceldogka,0,0,0,0,0,0,0,0,0,0,0,0
cefpdllmnabadkbgdppfnkmgjomcnjnk,0,0,0,0,0,0,0,0,0,0,0,0
cdonnmffkdaoajfknoeeecmchibpmkmg,0,0,0,0,0,0,0,0,0,0,6,0
blplonjjiifcjkikdkjggpldokifomme,0,0,0,0,0,0,0,0,0,0,0,0
bekpmddpdfbginlkmdcmhjfeejbmddpb,0,0,0,0,0,0,0,0,0,0,0,0
andhgpkmdioaiaaldihgcgcjmcdmignp,0,0,0,0,0,0,0,0,0,0,0,0
cbjhdienknhleancgfbpkagcmgabjnke,0,0,0,36,0,0,0,0,0,0,0,0
bmchoceeddggdndimacemddemmckhmpg,0,0,0,0,0,0,0,0,0,0,0,0
bmadghlcpopfbnfcpmicdoafognfbhmm,0,0,0,0,0,0,0,0,0,0,0,0
bhfocicgjapmjaceofingjieimdbklec,0,0,0,0,0,0,0,0,0,0,0,0
bbmplccbdhijapdpheaigjcdcgadecih,0,0,0,0,0,0,0,0,0,0,0,0
aapbdbdomjkkjkaonfhkkikfgjllcleb,0,0,0,0,0,0,0,0,0,0,0,0
bgnbkbdgafaaghfbnmhejdajbeboloci,0,0,0,0,0,0,0,0,0,0,0,0
aomidfkchockcldhbkggjokdkkebmdll,0,0,0,0,0,0,0,0,0,0,0,0
